Name,Level,Casting Time,Duration,School,Range,Classes,Text
Vicious Mockery,Cantrip,Action,Instantaneous,Enchantment,60 feet,Bard,"You unleash a string of insults laced with subtle enchantments at a creature you can see within range. If the target can hear you (though it need not understand you), it must succeed on a Wisdom saving throw or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn.This spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4)."
Blade Ward,Cantrip,Action,1 round,Abjuration,Self,"Bard, Sorcerer, Warlock, Wizard","You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks."
True Strike,Cantrip,Action,"Concentration, up to 1 round",Divination,30 feet,"Bard, Sorcerer, Warlock, Wizard","You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On your next turn, you gain advantage on your first attack roll against the target, provided that this spell hasn't ended."
Cure Wounds,1st,Action,Instantaneous,Evocation,Touch,"Artificer, Bard, Cleric, Druid, Paladin, Ranger",A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.
Faerie Fire,1st,Action,"Concentration, up to 1 minute",Evocation,60 feet,"Artificer, Bard, Druid","Each object in a 20-foot cube within range is outlined in blue, green, or violet light (your choice). Any creature in the area when the spell is cast is also outlined in light if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed dim light in a 10-foot radius.Any attack roll against an affected creature or object has advantage if the attacker can see it, and the affected creature or object can't benefit from being invisible."
Longstrider,1st,Action,1 hour,Transmutation,Touch,"Artificer, Bard, Druid, Ranger, Wizard",You touch a creature. The target's speed increases by 10 feet until the spell ends.
Dissonant Whispers,1st,Action,Instantaneous,Enchantment,60 feet,Bard,"You whisper a discordant melody that only one creature of your choice within range can hear, wracking it with terrible pain. The target must make a Wisdom saving throw. On a failed save, it takes 3d6 psychic damage and must immediately use its reaction, if available, to move as far as its speed allows away from you. The creature doesn't move into obviously dangerous ground, such as a fire or a pit. On a successful save, the target takes half as much damage and doesn't have to move away. A deafened creature automatically succeeds on the save."
Bane,1st,Action,"Concentration, up to 1 minute",Enchantment,30 feet,"Bard, Cleric","Up to three creatures of your choice that you can see within range must make Charisma saving throws. Whenever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends, the target must roll a d4 and subtract the number rolled from the attack roll or saving throw."
Healing Word,1st,Bonus,Instantaneous,Evocation,60 feet,"Bard, Cleric, Druid",A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.
Thunderwave,1st,Action,Instantaneous,Evocation,Self (15-foot cube),"Bard, Druid, Sorcerer, Wizard","A wave of thunderous force sweeps out from you. Each creature in a 15-foot cube originating from you must make a Constitution saving throw. On a failed save, a creature takes 2d8 thunder damage and is pushed 10 feet away from you. On a successful save, the creature takes half as much damage and isn't pushed.In addition, unsecured objects that are completely within the area of effect are automatically pushed 10 feet away from you by the spell's effect, and the spell emits a thunderous boom audible out to 300 feet."
Heroism,1st,Action,"Concentration, up to 1 minute",Enchantment,Touch,"Bard, Paladin","A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell ends, the target loses any remaining temporary hit points from this spell."
Lesser Restoration,2nd,Action,Instantaneous,Abjuration,Touch,"Artificer, Bard, Cleric, Druid, Paladin, Ranger","You touch a creature and can end either one disease or one condition afflicting it. The condition can be blinded, deafened, paralyzed, or poisoned."
Invisibility,2nd,Action,"Concentration, up to 1 hour",Illusion,Touch,"Artificer, Bard, Sorcerer, Warlock, Wizard",A creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell.
Hold Person,2nd,Action,"Concentration, up to 1 minute",Enchantment,60 feet,"Bard, Cleric, Druid, Sorcerer, Warlock, Wizard","Choose a humanoid that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. At the end of each of its turns, the target can make another Wisdom saving throw. On a success, the spell ends on the target."
Blindness/Deafness,2nd,Action,1 minute,Necromancy,30 feet,"Bard, Cleric, Sorcerer, Wizard","You can blind or deafen a foe. Choose one creature that you can see within range to make a Constitution saving throw. If it fails, the target is either blinded or deafened (your choice) for the duration. At the end of each of its turns, the target can make a Constitution saving throw. On a success, the spell ends."
