Name,Rarity,Type,Properties,Text
+1 Battleaxe,uncommon,"weapon, martial weapon, melee weapon","1d8, slashing, - versatile (1d10)",You have a +1 bonus to attack and damage rolls made with this magic weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
+1 Breastplate,rare,medium armor,AC 14 + Dex (max 2),"You have a +1 bonus to AC while wearing this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
+1 Chain Mail,rare,heavy armor,AC 16,"You have a +1 bonus to AC while wearing this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
+1 Chain Shirt,rare,medium armor,AC 13 + Dex (max 2),"You have a +1 bonus to AC while wearing this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
+1 Club,uncommon,"weapon, simple weapon, melee weapon","1d4, bludgeoning, - light","You have a +1 bonus to attack and damage rolls made with this magic weapon. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
+1 Dagger,uncommon,"weapon, simple weapon, melee weapon","1d4, piercing, - finesse, light, thrown (20/60 ft.)","You have a +1 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
+1 Dart,uncommon,"weapon, simple weapon, ranged weapon","1d4, piercing, - finesse, thrown (20/60 ft.)","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
+1 Flail,uncommon,"weapon, martial weapon, melee weapon","1d8, bludgeoning",You have a +1 bonus to attack and damage rolls made with this magic weapon.
+1 Greataxe,uncommon,"weapon, martial weapon, melee weapon","1d12, slashing, - heavy, two-handed","You have a +1 bonus to attack and damage rolls made with this magic weapon. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+1 Greatclub,uncommon,"weapon, simple weapon, melee weapon","1d8, bludgeoning, - two-handed","You have a +1 bonus to attack and damage rolls made with this magic weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
