Name,Level,Casting Time,Duration,School,Range,Classes,Text
Cure Wounds,1st,Action,Instantaneous,Evocation,Touch,"Artificer, Bard, Cleric, Druid, Paladin, Ranger",A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.
Heroism,1st,Action,"Concentration, up to 1 minute",Enchantment,Touch,"Bard, Paladin","A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell ends, the target loses any remaining temporary hit points from this spell."
Bless,1st,Action,"Concentration, up to 1 minute",Enchantment,30 feet,"Cleric, Paladin","You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target can roll a d4 and add the number rolled to the attack roll or saving throw."
Shield of Faith,1st,Bonus,"Concentration, up to 10 minutes",Abjuration,60 feet,"Cleric, Paladin","A shimmering field appears and surrounds a creature of your choice within range, granting it a +2 bonus to AC for the duration."
Divine Favor,1st,Bonus,"Concentration, up to 1 minute",Evocation,Self,Paladin,"Your prayer empowers you with divine radiance. Until the spell ends, your weapon attacks deal an extra 1d4 radiant damage on a hit."
Lesser Restoration,2nd,Action,Instantaneous,Abjuration,Touch,"Artificer, Bard, Cleric, Druid, Paladin, Ranger","You touch a creature and can end either one disease or one condition afflicting it. The condition can be blinded, deafened, paralyzed, or poisoned."
Protection from Poison,2nd,Action,1 hour,Abjuration,Touch,"Artificer, Cleric, Druid, Paladin, Ranger","You touch a creature. If it is poisoned, you neutralize the poison. If more than one poison afflicts the target, you neutralize one poison that you know is present, or you neutralize one at random.For the duration, the target has advantage on saving throws against being poisoned, and it has resistance to poison damage."
Aid,2nd,Action,8 hours,Abjuration,30 feet,"Artificer, Cleric, Paladin",Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration.
Magic Weapon,2nd,Bonus,"Concentration, up to 1 hour",Transmutation,Touch,"Artificer, Paladin, Wizard","You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls."
Elemental Weapon,3rd,Action,"Concentration, up to 1 hour",Transmutation,Touch,"Artificer, Paladin","A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: acid, cold, fire, lightning, or thunder. For the duration, the weapon has a +1 bonus to attack rolls and deals an extra 1d4 damage of the chosen type when it hits."
Destructive Wave,5th,Action,Instantaneous,Evocation,Self (30-foot radius),Paladin,"You strike the ground, creating a burst of divine energy that ripples outward from you. Each creature you choose within 30 feet of you must succeed on a Constitution saving throw or take 5d6 thunder damage, as well as 5d6 radiant or necrotic damage (your choice), and be knocked prone. A creature that succeeds on its saving throw takes half as much damage and isn't knocked prone."
