Name,Level,Casting Time,Duration,School,Range,Classes,Text
Poison Spray,Cantrip,Action,Instantaneous,Conjuration,10 feet,"Artificer, Druid, Sorcerer, Warlock, Wizard","You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage.This spell's damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12)."
Blade Ward,Cantrip,Action,1 round,Abjuration,Self,"Bard, Sorcerer, Warlock, Wizard","You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks."
True Strike,Cantrip,Action,"Concentration, up to 1 round",Divination,30 feet,"Bard, Sorcerer, Warlock, Wizard","You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On your next turn, you gain advantage on your first attack roll against the target, provided that this spell hasn't ended."
Chill Touch,Cantrip,Action,1 round,Necromancy,120 feet,"Sorcerer, Warlock, Wizard","You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target.If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn.This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
Eldritch Blast,Cantrip,Action,Instantaneous,Evocation,120 feet,Warlock,"A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.The spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam."
Witch Bolt,1st,Action,"Concentration, up to 1 minute",Evocation,30 feet,"Sorcerer, Warlock, Wizard","A beam of crackling, blue energy lances out toward a creature within range, forming a sustained arc of lightning between you and the target. Make a ranged spell attack against that creature. On a hit, the target takes 1d12 lightning damage, and on each of your turns for the duration, you can use your action to deal 1d12 lightning damage to the target automatically. The spell ends if you use your action to do anything else. The spell also ends if the target is ever outside the spell's range or if it has total cover from you."
Hellish Rebuke,1st,Reaction,Instantaneous,Evocation,60 feet,Warlock,"You point your finger, and the creature that damaged you is momentarily surrounded by hellish flames. The creature must make a Dexterity saving throw. It takes 2d10 fire damage on a failed save, or half as much damage on a successful one."
Hex,1st,Bonus,"Concentration, up to 1 hour",Enchantment,90 feet,Warlock,"You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 necrotic damage to the target whenever you hit it with an attack. Also, choose one ability when you cast the spell. The target has disadvantage on ability checks made with the chosen ability.If the target drops to 0 hit points before this spell ends, you can use a bonus action on a subsequent turn of yours to curse a new creature.A remove curse cast on the target ends this spell early."
Invisibility,2nd,Action,"Concentration, up to 1 hour",Illusion,Touch,"Artificer, Bard, Sorcerer, Warlock, Wizard",A creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell.
Hold Person,2nd,Action,"Concentration, up to 1 minute",Enchantment,60 feet,"Bard, Cleric, Druid, Sorcerer, Warlock, Wizard","Choose a humanoid that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. At the end of each of its turns, the target can make another Wisdom saving throw. On a success, the spell ends on the target."
