Name,Rarity,Text
Potion of Acid Resistance,uncommon,"When you drink this potion, you gain resistance to acid damage for 1 hour."
Potion of Cold Resistance,uncommon,"When you drink this potion, you gain resistance to cold damage for 1 hour."
Potion of Fire Resistance,uncommon,"When you drink this potion, you gain resistance to fire damage for 1 hour."
Potion of Force Resistance,uncommon,"When you drink this potion, you gain resistance to force damage for 1 hour."
Potion of Greater Healing,uncommon,You regain 4d4 + 4 hit points when you drink this potion. The potion's red liquid glimmers when agitated.
Potion of Healing,common,You regain 2d4 + 2 hit points when you drink this potion. The potion's red liquid glimmers when agitated.
Potion of Invisibility,very rare,"This potion's container looks empty but feels as though it holds liquid. When you drink it, you become invisible for 1 hour. Anything you wear or carry is invisible with you. The effect ends early if you attack or cast a spell."
Potion of Invulnerability,rare,"For 1 minute after you drink this potion, you have resistance to all damage. The potion's syrupy liquid looks like liquefied iron."
Potion of Lightning Resistance,uncommon,"When you drink this potion, you gain resistance to lightning damage for 1 hour."
Potion of Necrotic Resistance,uncommon,"When you drink this potion, you gain resistance to necrotic damage for 1 hour."
Potion of Poison Resistance,uncommon,"When you drink this potion, you gain resistance to poison damage for 1 hour."
Potion of Psychic Resistance,uncommon,"When you drink this potion, you gain resistance to psychic damage for 1 hour."
Potion of Radiant Resistance,uncommon,"When you drink this potion, you gain resistance to radiant damage for 1 hour."
Potion of Superior Healing,rare,You regain 8d4 + 8 hit points when you drink this potion. The potion's red liquid glimmers when agitated.
Potion of Supreme Healing,very rare,You regain 10d4 + 20 hit points when you drink this potion. The potion's red liquid glimmers when agitated.
Potion of Thunder Resistance,uncommon,"When you drink this potion, you gain resistance to thunder damage for 1 hour."
