Name,Level,Casting Time,Duration,School,Range,Classes,Text
Acid Splash,Cantrip,Action,Instantaneous,Conjuration,60 feet,"Artificer, Sorcerer, Wizard","You hurl a bubble of acid. Choose one creature you can see within range, or choose two creatures you can see within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6)."
Guidance,Cantrip,Action,"Concentration, up to 1 minute",Divination,Touch,"Artificer, Cleric, Druid","You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends."
Resistance,Cantrip,Action,"Concentration, up to 1 minute",Abjuration,Touch,"Artificer, Cleric, Druid","You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after making the saving throw. The spell then ends."
Thorn Whip,Cantrip,Action,Instantaneous,Transmutation,30 feet,"Artificer, Druid","You create a long, vine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. If the attack hits, the creature takes 1d6 piercing damage, and if the creature is Large or smaller, you pull the creature up to 10 feet closer to you.This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6)."
Poison Spray,Cantrip,Action,Instantaneous,Conjuration,10 feet,"Artificer, Druid, Sorcerer, Warlock, Wizard","You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage.This spell's damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12)."
Fire Bolt,Cantrip,Action,Instantaneous,Evocation,120 feet,"Artificer, Sorcerer, Wizard","You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried.This spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10)."
Ray of Frost,Cantrip,Action,Instantaneous,Evocation,60 feet,"Artificer, Sorcerer, Wizard","A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn.The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
Shocking Grasp,Cantrip,Action,Instantaneous,Evocation,Touch,"Artificer, Sorcerer, Wizard","Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can't take reactions until the start of its next turn.The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
Cure Wounds,1st,Action,Instantaneous,Evocation,Touch,"Artificer, Bard, Cleric, Druid, Paladin, Ranger",A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.
Faerie Fire,1st,Action,"Concentration, up to 1 minute",Evocation,60 feet,"Artificer, Bard, Druid","Each object in a 20-foot cube within range is outlined in blue, green, or violet light (your choice). Any creature in the area when the spell is cast is also outlined in light if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed dim light in a 10-foot radius.Any attack roll against an affected creature or object has advantage if the attacker can see it, and the affected creature or object can't benefit from being invisible."
