Name,Level,Casting Time,Duration,School,Range,Classes,Text
Acid Splash,Cantrip,Action,Instantaneous,Conjuration,60 feet,"Artificer, Sorcerer, Wizard","You hurl a bubble of acid. Choose one creature you can see within range, or choose two creatures you can see within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6)."
Poison Spray,Cantrip,Action,Instantaneous,Conjuration,10 feet,"Artificer, Druid, Sorcerer, Warlock, Wizard","You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage.This spell's damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12)."
Fire Bolt,Cantrip,Action,Instantaneous,Evocation,120 feet,"Artificer, Sorcerer, Wizard","You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried.This spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10)."
Ray of Frost,Cantrip,Action,Instantaneous,Evocation,60 feet,"Artificer, Sorcerer, Wizard","A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn.The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
Shocking Grasp,Cantrip,Action,Instantaneous,Evocation,Touch,"Artificer, Sorcerer, Wizard","Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can't take reactions until the start of its next turn.The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
Blade Ward,Cantrip,Action,1 round,Abjuration,Self,"Bard, Sorcerer, Warlock, Wizard","You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks."
True Strike,Cantrip,Action,"Concentration, up to 1 round",Divination,30 feet,"Bard, Sorcerer, Warlock, Wizard","You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On your next turn, you gain advantage on your first attack roll against the target, provided that this spell hasn't ended."
Chill Touch,Cantrip,Action,1 round,Necromancy,120 feet,"Sorcerer, Warlock, Wizard","You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target.If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn.This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
False Life,1st,Action,1 hour,Necromancy,Self,"Artificer, Sorcerer, Wizard","Bolstering yourself with a necromantic facsimile of life, you gain 1d4 + 4 temporary hit points for the duration."
Thunderwave,1st,Action,Instantaneous,Evocation,Self (15-foot cube),"Bard, Druid, Sorcerer, Wizard","A wave of thunderous force sweeps out from you. Each creature in a 15-foot cube originating from you must make a Constitution saving throw. On a failed save, a creature takes 2d8 thunder damage and is pushed 10 feet away from you. On a successful save, the creature takes half as much damage and isn't pushed.In addition, unsecured objects that are completely within the area of effect are automatically pushed 10 feet away from you by the spell's effect, and the spell emits a thunderous boom audible out to 300 feet."
